addr	function_entry	function_name
0x100054db	100054db	__break
0x1000558b	10005500	InstallLegacyModCheckOrGFWLPopupHook
0x1000564b	1000564b	__break
0x1000566b	1000566b	__break
0x100057eb	100057eb	__break
0x10005aeb	10005aeb	__break
0x10005d7b	10005ca0	InstallBuildingAlphaFixPatch
0x10005ecb	10005ecb	__break
0x1001af5b	1001af20	FUN_1001af20
0x1001b03b	1001afa0	InstallEmissiveLerpFixPatch
0x1001b05b	1001b05b	__break
0x1001b07b	1001b07b	FUN_1001b07b
0x1001b09b	1001b09b	__break
0x1001b0bb	1001b0bb	__break
0x1001ef5b	1001ef5b	__break
0x1002347b	1002347b	__break
0x1002348b	1002348b	__break
0x10036e8b	10036e8b	__break
0x10036eab	10036eab	__break
0x10036edb	10036edb	__break
0x10036efb	10036efb	__break
0x10037b9b	10037b9b	__break
0x1003854b	1003854b	__break
0x1003856b	1003856b	__break
0x1003d7ab	1003d7ab	__break
0x1003d86b	1003d86b	__break
0x1003d99b	1003d99b	__break
0x10045a2b	10045a2b	__break
0x10045a7b	10045a30	FUN_10045a30
0x1004557b	10045490	InstallRemoveRGSCLoginRequirementPatch
0x1004559b	1004559b	__break
0x100455db	100455db	__break
0x1004677b	1004677b	__break
0x100469db	100469a0	FUN_100469a0
0x1004aaab	1004aaab	__break
0x1005048b	1005048b	__break
0x1005053b	100504b0	InstallWantedLevelCrashFixPatch
0x1005086b	1005086b	__break
0x100515fb	100515fb	__break
0x1005188b	100517e0	FUN_100517e0
0x100518cb	10051890	FUN_10051890
0x100521db	100521db	__break
