0x100055c0	InstallAimProjectileCrashFixPatch
0x10005690	InstallBenchmarkFixPatch
0x10005e30	InstallCollisionDeadlockFixPatch
0x10005ee0	InstallCombinedRadioFreezeFixPatch
0x1001b0e0	InstallEpisodeSwitchFreezeFixPatch
0x10036f30	InstallGroupHackFixPatch
0x10036fd0	InstallBlackscreenFixPatch
0x10037070	InstallFreezeGunFixPatch
0x10037100	InstallRemoveAllWeaponsProtectionPatch
0x100371f0	InstallCrashMsgFixPatch
0x10037290	InstallMPNikoCrashFixPatch
0x10037be0	InstallBadPlayerModelCrashFixPatch
0x10037c70	InstallDebugPrintSpawnsPatch
0x1003d7d0	InstallPathNodeCrashFixPatch
0x1003d890	InstallPlaneCrashFixPatch
0x100504b0	InstallWantedLevelCrashFixPatch
