xref_from	function
10055de5	FUN_10055c70
10055df1	FUN_10055c70
100056a0	InstallBenchmarkFixPatch
100067f3	FUN_10006770
1001b320	InstallTBoGTHeliHeightLimitPatch
1001b390	InstallEpisodicWeaponSupportPatch
1001b5ab	InstallEpisodicVehicleSupportPatch
1001bc4d	InstallEpisodicVehicleSupportPatch
1001bca9	InstallEpisodicVehicleSupportPatch
1001be50	InstallPipeBombDropIconSupportPatch
1001bed0	InstallPoliceEpisodicWeaponSupportPatch
100234f0	InstallLoadDLCsPatch
10023700	InstallLoadDLCsPatch
10023909	InstallLoadDLCsPatch
1000489d	FUN_10004850
100441d0	RedirectLauncherTargetToPlayGTAIV
10044720	FUN_10044710
10044936	FUN_10044710
10044be0	InstallRemoveUselessChecksPatch
10045197	InstallRemoveUselessChecksPatch
10045268	InstallRemoveUselessChecksPatch
10045514	InstallRemoveRGSCLoginRequirementPatch
10046a20	InstallSuperLODFixPatch
10046aa0	InstallSuperLODFixPatch
100503c0	InstallVSyncFixPatch
10055d5b	FUN_10055c70
10055d6a	FUN_10055c70
10055d79	FUN_10055c70
10055d85	FUN_10055c70
10055d91	FUN_10055c70
10055d9d	FUN_10055c70
10055da9	FUN_10055c70
10055db5	FUN_10055c70
10055dc1	FUN_10055c70
10055dcd	FUN_10055c70
10055dd9	FUN_10055c70
