"line"	"key"	"action"	"mapping_kind"
"957"	"PoliceEpisodicWeaponSupport"	"FUN_1001bec0"	"direct"
"965"	"PipeBombDropIconSupport"	"FUN_1001be40"	"direct"
"973"	"EpisodeSwitchFreezeFix"	"FUN_1001b0e0"	"direct"
"981"	"CombinedRadioFreezeFix"	"FUN_10005ee0"	"direct"
"989"	"AllowHashesForIDE"	"FUN_10022cf0"	"direct"
"997"	"PathNodeCrashFix"	"FUN_1003d7d0"	"direct"
"1020"	"LoadDLCs"	"FUN_100234e0"	"direct"
"1028"	"BenchmarkFix"	"FUN_10005690"	"direct"
"1036"	"CollisionDeadlockFix"	"FUN_10005e30"	"direct"
"1044"	"AimProjectileCrashFix"	"FUN_100055c0"	"direct"
"1052"	"FreezeCarFix"	"FUN_1005c160"	"direct"
"1058"	"DebugPrintSpawns"	"FUN_10037c70"	"direct"
"1068"	"BadPlayerModelCrashFix"	"FUN_10037be0"	"direct"
"1076"	"HighFPSBikePhysicsFix"	"FUN_1001efa0"	"direct"
"1084"	"HighFPSSpeedupFix"	"FUN_10023b30"	"direct"
"1092"	"BuildingAlphaFix"	"FUN_10005ca0"	"direct"
"1100"	"BetterMPSync"	"FUN_10005800"	"direct"
"1108"	"MPNikoCrashFix"	"FUN_10037290"	"direct"
"1116"	"BuildingDynamicShadows"	"FUN_10005b20"	"direct"
"1124"	"RemoveUselessChecks"	"FUN_10044bd0"	"direct"
"1147"	"ForceDynamicShadowsEverywhere"	"FUN_1001ee50"	"direct"
"1155"	"InfiniteCarBottomDistance"	"FUN_10022d80"	"direct"
"1163"	"RemoveStaticCarShadows"	"FUN_10038800"	"direct"
"1171"	"RemoveStaticCutsceneCarShadows"	"FUN_10038860"	"direct"
"1262"	"CrashMsgFix"	"FUN_100371f0"	"direct"
"1270"	"OverrideGTADatPath"	"FUN_10022f60"	"direct"
"1278"	"OverrideGTADatPathTo"	"FUN_10022fc0"	"direct"
"1283"	"OverrideGTADatPathTo"	"FUN_10022fc0"	"direct"
"1288"	"IncreaseVehicleModelLimit"	"FUN_10022fc0"	"direct"
"1296"	"IncreaseVehicleStructLimit"	"FUN_10023020"	"direct"
"1304"	"SMPA60Fix"	"FUN_100467a0"	"direct"
"1312"	"TryToSkipAllErrors"	"FUN_10046b30"	"direct"
"1320"	"PlaneCrashFix"	"FUN_1003d890"	"direct"
"1394"	"EmissiveLerpFix"	"FUN_1001afa0"	"direct"
"1402"	"BikeFeetFix"	"FUN_1001bdd0"	"direct"
"1410"	"ForceShadowsOnObjects"	"FUN_1001eed0"	"direct"
"1418"	"BikePhoneAnimsFix"	"FUN_1001bd60"	"direct"
"1426"	"HighQualityReflections"	"FUN_10023dc0"	"direct"
"1434"	"RemoveBoundingBoxCulling"	"FUN_10038770"	"direct"
"1442"	"EpisodicVehicleSupport"	"FUN_1001b580"	"direct"
"1450"	"EpisodicWeaponSupport"	"FUN_1001b380"	"direct"
"1458"	"TBoGTHeliHeightLimit"	"FUN_1001b310"	"direct"
"1466"	"WantedLevelCrashFix"	"FUN_100504b0"	"direct"
"1489"	"RemoveRGSCLoginRequirement"	"FUN_10045490"	"direct"
"1497"	"BlackscreenFix"	"FUN_10036fd0"	"direct"
"1505"	"FreezeGunFix"	"FUN_10037070"	"direct"
"1513"	"GroupHackFix"	"FUN_10036f30"	"direct"
"1521"	"FixPCIDKickbug"	"SHDeleteValueW"	"direct"
"1545"	"TeleportProtection"	"FUN_10037170"	"direct"
"1553"	"RemoveAllWeaponsProtection"	"FUN_10037100"	"direct"
"1561"	"IncreasePtrNodes"	"FUN_10023080"	"direct"
"1569"	"SCOSignatureFix"	"FUN_10045980"	"direct"
"1577"	"PlayerAsPedComponentsFix"	"FUN_1003d9c0"	"direct"
"1585"	"SuperLODFix"	"FUN_10046a10"	"direct"
"1594"	"VSyncFix"	"FUN_100503b0"	"direct"
"1602"	"ImprovedShaderStreaming"	"FUN_10045ad0"	"direct"
"1610"	"LaunchWithPlayGTAIV"	"FUN_100441b0"	"direct"
"1618"	"Patch6and7RemoveModChecks"	"FUN_1005c160"	"direct"
"1628"	"Patch7RemoveModChecks"	"FUN_1004ac90"	"direct"
"1648"	"Patch4RemoveModChecks"	"FUN_10005500"	"direct"
"1657"	"RemoveGFWLUpdatePopup"	"FUN_10005500"	"direct"
"1666"	"SkipLauncher"	"FUN_10045ce0"	"direct"
"1689"	"NoLoadingSleep"	"FUN_1003d670"	"direct"
"1697"	"SkipIntro"	"FUN_10003e20"	"direct"
"1719"	"SkipMenu"	"FUN_10003e20"	"direct"
"1756"	"DoNotPauseOnMinimize"	"FUN_1001ede0"	"direct"
"1770"	"BorderlessWindowed"	"FUN_10003e20"	"direct"
"1791"	"VRAMFix"	"FUN_1004aae0"	"direct"
"1799"	"SavegameFix"	"FUN_10045610"	"direct"
"1822"	"StartupTimeFix"	"FUN_100468d0"	"direct"
"1830"	"MiscFixes"	"FUN_10023dd0"	"direct"
"1838"	"SpeedupBugFix"	"FUN_100506b0"	"direct"
"1846"	"NewFilesCompatibility"	"FUN_10051920"	"direct"
"1854"	"NewSavesCompatibility"	"FUN_10052200"	"direct"
"1862"	"PedModelsInCutscenesFix"	"FUN_100508c0"	"direct"
"1870"	"RestoreDeathMusic"	"FUN_10052380"	"direct"
"1886"	"LocalSettingsPath"	"FUN_100513a0"	"direct"
